Ref;Localite;Pays;ID;Source;Sondes;StructureEn;StructureFr;Isolation;CombWood;CombBark;CombLeaves;CombStraw;CombGrass;CombReed;CombPalmFronds;CombPalmLeaves;CombPalmNuts;CombRiceHusks;CombMilletHusks;CombMilletStems;CombBalesSorghum;CombCornStalks;CombSawdust;CombCharcoal;CombKerozene;CombDung;NbPots;Diametre;Hauteur;Interruption;PostCuisson;Duree;TMin;TMoy;TMax;VChauffe;D700;D800;D900;D1000
45;Halili;Namibie;-;Woods 1984;1;Bonefire;meule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0,5;0,5;0;0;49;0;670;0;24;0;0;0;0
46;San Ildefonso;USA;-;Shepard 1956, p. 84;1;Bonefire;meule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;+;Sm?;19;0;770;0;64;8;0;0;0
47;Zia;USA;-;Shepard 1956, p. 84;1;Bonefire;meule;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40;0;0;+;no;80;0;940;0;16;40;32;15;0
48;Chinautia;Guatemala;-;Shepard 1956, p. 84;1;Bonefire;meule;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;300;0;0;0;no;85;0;715;0;42;8;0;0;0
49;Cochiti I;USA;-;Shepard 1956, p. 84;1;Bonefire;meule;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;+;0;18;0;890;0;89;9;5;0;0
50;Cochiti II;USA;-;Shepard 1956, p. 84;1;Bonefire;meule;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;+;0;23;0;830;0;49;12;5;0;0
51;Mouderi;Sénégal;-;Gelbert 1995;6;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,8;0;0;150;808;919;1011;8;79;55;16;4
52;Bogué;Cameroun;BOG.05;Ceramic & Society;8;Depression;fosse;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1,5;0,8;+;Sp;25;663;788;829;54;7;2;0;0
53;Guédé;Cameroun;GUE.01;Ceramic & Society;10;Depression;fosse;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,8;+;Sp;45;450;589;709;42;0;0;0;0
54;Karlai;Cameroun;KAR.01-0;Ceramic & Society;4;Depression;fosse;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2,5;0,8;+;Sp;44;820;920;1006;22;17;14;7;0
55;Koubi;Cameroun;KOB.01;Ceramic & Society;10;Depression;fosse;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;2,5;0,9;+;Sp;60;591;758;854;15;11;2;0;0
56;Babwantou;Cameroun;BAB.01;Gosselain 1995;10;Depression;fosse;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;13;2;0,5;+;Special;19;540;681;825;125;5;0;0;0
57;Ikenge;Zaïre;Brand 4 ;Wotzka 1991;1;Depression;fosse;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;27;0;0;+;Sp;79;0;880;0;14;56;30;0;0
58;Bolasar;Inde;OLA.00;Degoy 1997;9;Depression;fosse;Heavy;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;200;3;1;0;0;275;800;847;863;4;88;40;0;0
59;Dariavad;Inde;DAR.00;Degoy 1997;8;Bonefire;meule;Light;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;2;1,5;0;0;100;605;763;859;31;10;2;0;0
60;Boromo;Burkina Faso;MOT.02-0;Ceramic & Society;8;Bonefire;meule;Light;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;2,3;0,9;+;Sm,Sp,So;44;717;773;864;27;13;3;0;0
61;Nanou 1;Burkina Faso;NON.01-0;Ceramic & Society;8;Bonefire;meule;Light;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2,4;0,9;+;Sm,Sp,So;36;651;753;898;19;7;1;0;0
